"filename", "language", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "Markdown", "XML", "JavaScript", "PostCSS", "comment", "blank", "total"
"d:\project\DATN\spotify-clone\client\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\project\DATN\spotify-clone\client\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 14, 37
"d:\project\DATN\spotify-clone\client\global.d.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\project\DATN\spotify-clone\client\next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 15, 0, 1, 2, 18
"d:\project\DATN\spotify-clone\client\package.json", "JSON", 0, 0, 57, 0, 0, 0, 0, 0, 0, 1, 58
"d:\project\DATN\spotify-clone\client\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\project\DATN\spotify-clone\client\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\project\DATN\spotify-clone\client\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\project\DATN\spotify-clone\client\src\app\(site)\error.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"d:\project\DATN\spotify-clone\client\src\app\(site)\layout.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\project\DATN\spotify-clone\client\src\app\(site)\loading.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"d:\project\DATN\spotify-clone\client\src\app\(site)\page.tsx", "TypeScript JSX", 0, 0, 0, 90, 0, 0, 0, 0, 0, 6, 96
"d:\project\DATN\spotify-clone\client\src\app\author\[id]\error.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"d:\project\DATN\spotify-clone\client\src\app\author\[id]\loading.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"d:\project\DATN\spotify-clone\client\src\app\author\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 69, 0, 0, 0, 0, 0, 7, 76
