Date : 2024-06-28 22:59:58
Directory : d:\project\DATN\spotify-clone\client
Total : 102 files,  4175 codes, 13 comments, 587 blanks, all 4775 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         72 |      3,603 |          2 |        478 |      4,083 |
| TypeScript         |         21 |        395 |          6 |         80 |        481 |
| JSON               |          1 |         57 |          0 |          1 |         58 |
| PostCSS            |          1 |         43 |          4 |          9 |         56 |
| JSON with Comments |          2 |         31 |          0 |          2 |         33 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| JavaScript         |          2 |         21 |          1 |          3 |         25 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |        102 |      4,175 |         13 |        587 |      4,775 |
| . (Files)                                                                                      |          8 |        154 |          1 |         23 |        178 |
| public                                                                                         |          2 |          2 |          0 |          0 |          2 |
| src                                                                                            |         92 |      4,019 |         12 |        564 |      4,595 |
| src\app                                                                                        |         33 |      1,140 |          4 |        177 |      1,321 |
| src\app (Files)                                                                                |          3 |        102 |          4 |         17 |        123 |
| src\app\(site)                                                                                 |          4 |        118 |          0 |         15 |        133 |
| src\app\author                                                                                 |          4 |        148 |          0 |         23 |        171 |
| src\app\author\[id]                                                                            |          3 |         90 |          0 |         15 |        105 |
| src\app\author\components                                                                      |          1 |         58 |          0 |          8 |         66 |
| src\app\categories                                                                             |          4 |        104 |          0 |         19 |        123 |
| src\app\categories\[id]                                                                        |          3 |         96 |          0 |         15 |        111 |
| src\app\categories\components                                                                  |          1 |          8 |          0 |          4 |         12 |
| src\app\liked                                                                                  |          4 |        115 |          0 |         22 |        137 |
| src\app\liked (Files)                                                                          |          3 |         76 |          0 |         14 |         90 |
| src\app\liked\components                                                                       |          1 |         39 |          0 |          8 |         47 |
| src\app\playlist                                                                               |          9 |        450 |          0 |         58 |        508 |
| src\app\playlist (Files)                                                                       |          1 |         73 |          0 |          7 |         80 |
| src\app\playlist\[id]                                                                          |          3 |        190 |          0 |         19 |        209 |
| src\app\playlist\components                                                                    |          5 |        187 |          0 |         32 |        219 |
| src\app\profile                                                                                |          1 |         17 |          0 |          3 |         20 |
| src\app\search                                                                                 |          4 |         86 |          0 |         20 |        106 |
| src\app\search (Files)                                                                         |          3 |         55 |          0 |         14 |         69 |
| src\app\search\components                                                                      |          1 |         31 |          0 |          6 |         37 |
| src\components                                                                                 |         38 |      2,405 |          2 |        284 |      2,691 |
| src\contexts                                                                                   |          2 |         96 |          0 |         23 |        119 |
| src\hooks                                                                                      |          8 |        107 |          0 |         37 |        144 |
| src\libs                                                                                       |          3 |         31 |          0 |          9 |         40 |
| src\providers                                                                                  |          1 |         28 |          0 |          7 |         35 |
| src\types                                                                                      |          1 |        100 |          6 |         15 |        121 |
| src\utils                                                                                      |          6 |        112 |          0 |         12 |        124 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                       | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\project\DATN\spotify-clone\client\.eslintrc.json                                            | JSON with Comments |          3 |          0 |          1 |          4 |
| d:\project\DATN\spotify-clone\client\README.md                                                 | Markdown           |         23 |          0 |         14 |         37 |
| d:\project\DATN\spotify-clone\client\global.d.ts                                               | TypeScript         |          3 |          0 |          1 |          4 |
| d:\project\DATN\spotify-clone\client\next.config.mjs                                           | JavaScript         |         15 |          1 |          2 |         18 |
